gen 01 12:20:03|5[info]01/01/2015 12:20:03 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][error_qta = Atenzione la quantita minima d' ordine e' di 12 confezioni o un multiplo di 6][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:20:10|5[info]01/01/2015 12:20:10 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:20:39|5[info]01/01/2015 12:20:39 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][error_qta = Atenzione la quantita minima d' ordine e' di 12 confezioni o un multiplo di 6][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:20:44|5[info]01/01/2015 12:20:44 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:21:14|5[info]01/01/2015 12:21:14 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:22:10|5[info]01/01/2015 12:22:10 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:23:58|5[info]01/01/2015 12:23:58 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:24:02|5[info]01/01/2015 12:24:02 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Orders][user_id = 7218][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:24:23|5[info]01/01/2015 12:24:23 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:24:26|5[info]01/01/2015 12:24:26 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
