dic 12 13:40:25|5[info]12/12/2014 13:40:25 - [UTENTE = ][REMOTE IP = 207.46.13.141][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
dic 12 15:15:55|5[info]12/12/2014 15:15:55 - [UTENTE = ][REMOTE IP = 93.92.217.228][REQUEST METHOD = GET][USER AGENT = Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)]
dic 12 15:30:23|5[info]12/12/2014 15:30:23 - [UTENTE = ][REMOTE IP = 66.249.79.155][act = Search][gm = 17][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 15:42:16|5[info]12/12/2014 15:42:16 - [UTENTE = ][REMOTE IP = 64.246.165.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows; U; Windows NT 5.1; en; rv:1.9.0.13) Gecko/2009073022 Firefox/3.5.2 (.NET CLR 3.5.30729) SurveyBot/2.3 (DomainTools)]
dic 12 15:49:50|5[info]12/12/2014 15:49:50 - [UTENTE = ][REMOTE IP = 66.249.79.155][act = Search][gm = 15][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 16:09:17|5[info]12/12/2014 16:09:17 - [UTENTE = ][REMOTE IP = 66.249.79.147][act = Search][gm = 43][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 12 16:11:06|5[info]12/12/2014 16:11:06 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 16:11:08|5[info]12/12/2014 16:11:08 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 16:43:59|5[info]12/12/2014 16:43:59 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 12 16:44:01|5[info]12/12/2014 16:44:01 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
